Occupation title (click on the occupation title to view its profile),Annual mean wage
"Entertainment and Recreation Managers, Except Gambling","73,810"
Lodging Managers,"67,770"
Medical and Health Services Managers,"119,840"
Natural Sciences Managers,"156,110"
Postmasters and Mail Superintendents,"81,820"
"Property, Real Estate, and Community Association Managers","70,030"
Social and Community Service Managers,"76,790"
Emergency Management Directors,"84,800"
Personal Service Managers,"74,360"
Funeral Home Managers,"82,900"
"Personal Service Managers, All Other","59,580"
"Managers, All Other","129,710"
Business and Financial Operations Occupations,"82,610"
Business Operations Specialists,"80,380"
"Agents and Business Managers of Artists, Performers, and Athletes","116,410"
Buyers and Purchasing Agents,"72,540"
"Claims Adjusters, Appraisers, Examiners, and Investigators","70,850"
"Claims Adjusters, Examiners, and Investigators","70,960"
"Insurance Appraisers, Auto Damage","68,180"
Compliance Officers,"75,810"
Cost Estimators,"73,740"
Human Resources Workers,"71,210"
Human Resources Specialists,"70,720"
Farm Labor Contractors,"54,400"
Labor Relations Specialists,"77,070"
Logisticians and Project Management Specialists,"94,530"
Logisticians,"79,230"
Project Management Specialists,"98,420"
Management Analysts,"100,530"
"Meeting, Convention, and Event Planners","57,850"
Fundraisers,"64,870"
"Compensation, Benefits, and Job Analysis Specialists","73,810"
Training and Development Specialists,"67,620"
Market Research Analysts and Marketing Specialists,"76,080"
"Business Operations Specialists, All Other","79,240"
Financial Specialists,"87,350"
Accountants and Auditors,"83,980"
Property Appraisers and Assessors,"70,050"
Budget Analysts,"84,240"
Credit Analysts,"88,030"
Financial Analysts and Advisors,"106,340"
Financial and Investment Analysts,"103,020"
Personal Financial Advisors,"119,960"
Insurance Underwriters,"79,940"
Financial Risk Specialists,"110,610"
Financial Examiners,"96,180"
Credit Counselors and Loan Officers,"78,040"
Credit Counselors,"50,430"
Loan Officers,"80,570"
"Tax Examiners, Collectors and Preparers, and Revenue Agents","55,750"
"Tax Examiners and Collectors, and Revenue Agents","63,200"
Tax Preparers,"51,080"
"Financial Specialists, All Other","80,370"
Computer and Mathematical Occupations,"99,860"
Computer Occupations,"99,620"
Computer and Information Analysts,"104,840"
Computer Systems Analysts,"102,210"
Information Security Analysts,"113,270"
Computer and Information Research Scientists,"142,650"
Computer Support Specialists,"60,550"
Computer Network Support Specialists,"71,350"
Computer User Support Specialists,"57,650"
Database and Network Administrators and Architects,"102,440"
Computer Network Architects,"120,650"
Database Administrators,"96,550"
Database Architects,"121,840"
Network and Computer Systems Administrators,"91,250"
"Software and Web Developers, Programmers, and Testers","113,720"
Computer Programmers,"96,650"
Software Developers,"120,990"
Software Quality Assurance Analysts and Testers,"97,710"
Web Developers,"81,320"
Web and Digital Interface Designers,"95,460"
"Computer Occupations, All Other","98,180"
Mathematical Science Occupations,"103,800"
Actuaries,"125,300"
Mathematicians,"112,430"
Operations Research Analysts,"95,830"
Statisticians,"99,450"
Data Scientists,"108,660"
"Mathematical Science Occupations, All Other","77,960"
Architecture and Engineering Occupations,"91,740"
"Architects, Surveyors, and Cartographers","82,880"
"Architects, Except Naval","89,400"
"Architects, Except Landscape and Naval","91,900"
Landscape Architects,"74,980"
"Surveyors, Cartographers, and Photogrammetrists","69,870"
Cartographers and Photogrammetrists,"73,510"
Surveyors,"68,880"
Engineers,"104,000"
